티커,종목명,현재가($),수익률(%)
VET,Vermilion Energy Inc. Common (Canada),10.19,25.03
LCII,LCI Industries,154.29,24.97
ADNT,Adient plc Ordinary Shares ,24.26,24.92
MKSI,MKS Inc. Common Stock,220.0,24.87
DVA,DaVita Inc. Common Stock,142.06,24.68
MAZE,Maze Therapeutics Inc. Common Stock,48.14,24.62
BELFA,Bel Fuse Inc. Class A Common Stock,192.11,24.55
BWLP,BW LPG Limited Common Shares,16.06,24.4
ZBIO,Zenas BioPharma Inc. Common Stock,20.66,24.38
CSTM,Constellium SE Ordinary Shares (France),24.3,24.36
BAP,Credicorp Ltd. Common Stock,363.63,24.32
JBLU,JetBlue Airways Corporation Common Stock,5.96,24.17
CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),23.51,24.06
MBIN,Merchants Bancorp Common Stock,42.76,24.05
CE,Celanese Corporation Common Stock,52.81,24.03
SLSR,Solaris Resources Inc. Common Shares,10.04,23.95
CNH,CNH Industrial N.V. Common Shares,11.96,23.94
LUV,Southwest Airlines Company Common Stock,52.59,23.92
RIG,Transocean Ltd (Switzerland) Common Stock,5.34,23.9
CASH,Pathward Financial Inc. Common Stock,91.57,23.89
WT,WisdomTree Inc. Common Stock,16.23,23.8
BVN,Buenaventura Mining Company Inc.,36.55,23.77
TNK,Teekay Tankers Ltd.,64.27,23.69
XPO,XPO Inc. Common Stock,179.54,23.69
GLW,Corning Incorporated Common Stock,109.69,23.68
GILD,Gilead Sciences Inc. Common Stock,146.23,23.61
CCOI,Cogent Communications Holdings Inc.,24.11,23.58
LIND,Lindblad Expeditions Holdings Inc. Common Stock,17.98,23.57
INTC,Intel Corporation Common Stock,48.6,23.44
CGEM,Cullinan Therapeutics Inc. Common Stock,12.33,23.42
CL,Colgate-Palmolive Company Common Stock,94.37,23.42
RVMD,Revolution Medicines Inc. Common Stock,96.51,23.21
EE,Excelerate Energy Inc. Class A Common Stock,35.7,23.15
CRC,California Resources Corporation Common Stock,55.91,22.83
RHI,Robert Half Inc. Common Stock,32.83,22.82
NWL,Newell Brands Inc. Common Stock,4.58,22.79
ORKA,Oruka Therapeutics Inc. Common Stock,33.0,22.77
AVNT,Avient Corporation Common Stock,39.22,22.75
HLX,Helix Energy Solutions Group Inc. Common Stock,8.31,22.75
MAN,ManpowerGroup Common Stock,36.81,22.74
NOVT,Novanta Inc. Common Stock,136.73,22.61
TER,Teradyne Inc. Common Stock,269.07,22.58
CRGY,Crescent Energy Company Class A Common Stock,10.1,22.57
OPY,Oppenheimer Holdings Inc. Class A Common Stock (DE),90.78,22.51
LFUS,Littelfuse Inc. Common Stock,331.26,22.45
