티커,종목명,섹터,산업,현재가,수익률(%)
ZURA,Zura Bio Limited Class A Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.01,25.21
OLPX,Olaplex Holdings Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics,1.59,25.2
HZO,MarineMax Inc.  (FL) Common Stock,Consumer Discretionary,Auto & Home Supply Stores,30.76,25.14
VET,Vermilion Energy Inc. Common (Canada),Energy,Oil & Gas Production,10.19,25.03
GROV,Grove Collaborative Holdings Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,1.5,25.0
LCII,LCI Industries,Consumer Discretionary,Auto Parts:O.E.M.,154.29,24.97
OBE,Obsidian Energy Ltd. Common Shares,Energy,Oil & Gas Production,7.51,24.96
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.,24.26,24.92
MKSI,MKS Inc. Common Stock,Industrials,Industrial Machinery/Components,220.0,24.87
PYXS,Pyxis Oncology Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.51,24.79
RRBI,Red River Bancshares Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,90.35,24.78
DVA,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,142.06,24.68
MAZE,Maze Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),48.14,24.62
BELFA,Bel Fuse Inc. Class A Common Stock,,,192.11,24.55
VGZ,Vista Gold Corp Common Stock,Basic Materials,Precious Metals,2.49,24.5
TARA,Protara Therapeutics Inc.  Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.71,24.49
BWLP,BW LPG Limited Common Shares,Consumer Discretionary,Transportation Services,16.06,24.4
ZBIO,Zenas BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,20.66,24.38
CSTM,Constellium SE Ordinary Shares (France),Industrials,Metal Fabrications,24.3,24.36
CSTE,Caesarstone Ltd. Ordinary Shares,Industrials,Building Materials,2.3,24.32
BAP,Credicorp Ltd. Common Stock,Finance,Commercial Banks,363.63,24.32
IPI,Intrepid Potash Inc Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),34.46,24.31
KELYA,Kelly Services Inc. Class A Common Stock,Consumer Discretionary,Professional Services,10.79,24.17
JBLU,JetBlue Airways Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,5.96,24.17
SCOR,comScore Inc. Common Stock,Real Estate,Real Estate,8.08,24.12
KELYB,Kelly Services Inc. Class B Common Stock,Consumer Discretionary,Professional Services,10.81,24.11
CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),Consumer Discretionary,Marine Transportation,23.51,24.06
MBIN,Merchants Bancorp Common Stock,Finance,Major Banks,42.76,24.05
CE,Celanese Corporation Common Stock,Industrials,Major Chemicals,52.81,24.03
TG,Tredegar Corporation Common Stock,Industrials,Metal Fabrications,9.31,23.97
SLSR,Solaris Resources Inc. Common Shares,,,10.04,23.95
CNH,CNH Industrial N.V. Common Shares,Industrials,Construction/Ag Equipment/Trucks,11.96,23.94
ORMP,Oramed Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.42,23.94
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,52.59,23.92
RIG,Transocean Ltd (Switzerland) Common Stock,Energy,Oil & Gas Production,5.34,23.9
CASH,Pathward Financial Inc. Common Stock,Finance,Major Banks,91.57,23.89
WASH,Washington Trust Bancorp Inc. Common Stock,Finance,Major Banks,36.57,23.84
SRZN,Surrozen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),23.65,23.82
WT,WisdomTree Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,16.23,23.8
BVN,Buenaventura Mining Company Inc.,Basic Materials,Metal Mining,36.55,23.77
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.45,23.74
XPO,XPO Inc. Common Stock,Consumer Discretionary,Transportation Services,179.54,23.69
TNK,Teekay Tankers Ltd.,Consumer Discretionary,Marine Transportation,64.27,23.69
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment,109.69,23.68
NPT,Texxon Holding Limited Ordinary shares,Consumer Discretionary,Specialty Chemicals,7.0,23.67
ORN,Orion Group Holdings Inc. Common,Industrials,Military/Government/Technical,12.87,23.63
BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors,78.95,23.61
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),146.23,23.61
CCOI,Cogent Communications Holdings Inc.,Consumer Discretionary,Telecommunications Equipment,24.11,23.58
LIND,Lindblad Expeditions Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,17.98,23.57
NVA,Nova Minerals Limited American Depositary Shares,Basic Materials,Precious Metals,8.55,23.55
NMRA,Neumora Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.02,23.55
INTC,Intel Corporation Common Stock,Technology,Semiconductors,48.6,23.44
CGEM,Cullinan Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),12.33,23.42
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,94.37,23.42
FNKO,Funko Inc. Class A Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,4.23,23.32
PTLO,Portillo's Inc. Class A Common Stock,Consumer Discretionary,Restaurants,5.82,23.31
EVMN,Evommune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,18.94,23.23
RVMD,Revolution Medicines Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),96.51,23.21
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission,35.7,23.15
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.22,23.11
NHTC,Natural Health Trends Corp. Common Stock,Consumer Discretionary,Consumer Specialties,4.0,23.08
ASRT,Assertio Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,11.85,23.05
AVNS,Avanos Medical Inc. Common Stock,Health Care,Industrial Specialties,13.9,22.9
CRC,California Resources Corporation Common Stock,Energy,Oil & Gas Production,55.91,22.83
AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,Fluid Controls,6.62,22.82
RHI,Robert Half Inc. Common Stock,Consumer Discretionary,Professional Services,32.83,22.82
NWL,Newell Brands Inc. Common Stock,Industrials,Plastic Products,4.58,22.79
ORKA,Oruka Therapeutics Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,33.0,22.77
NXDT,NexPoint Diversified Real Estate Trust Common Stock,Real Estate,Real Estate Investment Trusts,4.96,22.77
HLX,Helix Energy Solutions Group Inc. Common Stock,Energy,Oilfield Services/Equipment,8.31,22.75
AVNT,Avient Corporation Common Stock,Industrials,Major Chemicals,39.22,22.75
MAN,ManpowerGroup Common Stock,Consumer Discretionary,Professional Services,36.81,22.74
BOOM,DMC Global Inc. Common Stock,Industrials,Industrial Specialties,8.6,22.68
NOVT,Novanta Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,136.73,22.61
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products,269.07,22.58
CRGY,Crescent Energy Company Class A Common Stock,Energy,Oil & Gas Production,10.1,22.57
OPY,Oppenheimer Holdings Inc. Class A Common Stock (DE),Finance,Investment Bankers/Brokers/Service,90.78,22.51
CVLG,Covenant Logistics Group Inc. Class A Common Stock,Industrials,Trucking Freight/Courier Services,28.57,22.46
SHMD,SCHMID Group N.V. Class A Ordinary Shares,Technology,Industrial Machinery/Components,9.38,22.45
LFUS,Littelfuse Inc. Common Stock,Energy,Electrical Products,331.26,22.45
ANDE,Andersons Inc. (The) Common Stock,Industrials,Farming/Seeds/Milling,64.67,22.43
STEL,Stellar Bancorp Inc. Common Stock,Finance,Major Banks,38.66,22.42
NPK,National Presto Industries Inc. Common Stock,Industrials,Ordnance And Accessories,134.94,22.41
CMP,Compass Minerals Intl Inc Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),25.52,22.4
SLDB,Solid Biosciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.52,22.33
OFLX,Omega Flex Inc. Common Stock,Industrials,Industrial Specialties,36.7,22.33
MICC,The Magnum Ice Cream Company N.V. Ordinary Shares,Consumer Staples,Specialty Foods,18.3,22.24
BLBX,Blackboxstocks Inc. Common Stock,Technology,EDP Services,11.39,22.21
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,137.99,22.14
GRVY,GRAVITY Co. Ltd. American Depository Shares,Real Estate,Real Estate,72.4,22.09
OSK,Oshkosh Corporation (Holding Company)Common Stock,Industrials,Auto Manufacturing,166.91,22.09
SEB,Seaboard Corporation Common Stock,Industrials,Farming/Seeds/Milling,5335.0,22.05
ASTI,Ascent Solar Technologies Inc. Common Stock,Technology,Semiconductors,6.09,22.04
JILL,J. Jill Inc. Common Stock,Consumer Discretionary,Apparel,16.9,22.02
NFE,New Fortress Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission,1.33,22.02
TRMD,TORM plc Class A Common Stock,Consumer Discretionary,Marine Transportation,24.29,22.0
NAT,Nordic American Tankers Limited Common Stock,Consumer Discretionary,Marine Transportation,4.16,21.99
UAA,Under Armour Inc. Class A Common Stock,Consumer Discretionary,Apparel,6.61,21.96
ENR,Energizer Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,23.38,21.96
JBIO,Jade Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,16.0,21.95
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks,9.29,21.92
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,34.13,21.89
CVE,Cenovus Energy Inc Common Stock,Energy,Oil & Gas Production,20.28,21.88
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,362.54,21.88
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,13.88,21.86
PRT,PermRock Royalty Trust Units of Beneficial Interest,Energy,Oil & Gas Production,3.33,21.75
GLDG,GoldMining Inc. Common Shares,Basic Materials,Precious Metals,1.57,21.71
AIR,AAR Corp. Common Stock,Industrials,Aerospace,107.13,21.71
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,567.26,21.7
GFR,Greenfire Resources Ltd. Common Shares,Energy,Oil & Gas Production,5.67,21.67
BUUU,BUUU Group Limited Class A Ordinary Share,Consumer Discretionary,Services-Misc. Amusement & Recreation,9.49,21.67
PGC,Peapack-Gladstone Financial Corporation Common Stock,Finance,Commercial Banks,34.61,21.65
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Basic Materials,Precious Metals,11.88,21.6
CMDB,Costamare Bulkers Holdings Limited Common Stock,Consumer Discretionary,Marine Transportation,18.42,21.58
WSFS,WSFS Financial Corporation Common Stock,Finance,Major Banks,68.73,21.56
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,379.4,21.54
MOFG,MidWestOne Financial Gp Common Stock,Finance,Major Banks,47.34,21.53
EPC,Edgewell Personal Care Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,20.42,21.48
BUDA,Buda Juice Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),9.85,21.46
ESP,Espey Mfg. & Electronics Corp. Common Stock,Technology,Industrial Machinery/Components,57.0,21.43
FOXX,Foxx Development Holdings Inc. Common Stock,Telecommunications,Computer Communications Equipment,5.1,21.43
PATK,Patrick Industries Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,134.71,21.35
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Major Banks,40.52,21.29
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),11.86,21.27
NATR,Nature's Sunshine Products Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,25.9,21.25
SVM,Silvercorp Metals Inc. Common Shares,Basic Materials,Precious Metals,10.62,21.23
TEN,Tsakos Energy Navigation Ltd Common Shares,Consumer Discretionary,Marine Transportation,26.32,21.23
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals,78.49,21.22
FCBC,First Community Bankshares Inc. (VA) Common Stock,Finance,Major Banks,39.76,21.22
ARDX,Ardelyx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,7.38,21.18
PWP,Perella Weinberg Partners Class A Common Stock,Finance,Finance: Consumer Services,22.32,21.17
ARMN,Aris Mining Corporation Common Shares,,,19.75,21.17
DAN,Dana Incorporated Common Stock ,Consumer Discretionary,Auto Parts:O.E.M.,30.31,21.09
AUGO,Aura Minerals Inc. Common Shares,,,63.42,20.98
CTS,CTS Corporation Common Stock,Technology,Electrical Products,53.83,20.97
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,Energy,Oil & Gas Production,26.39,20.94
TREX,Trex Company Inc. Common Stock,Basic Materials,Forest Products,43.79,20.9
OIS,Oil States International Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,8.92,20.87
ULCC,Frontier Group Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,5.85,20.87
HBB,Hamilton Beach Brands Holding Company Class A Common Stock ,Consumer Discretionary,Home Furnishings,19.54,20.84
UFPI,UFP Industries Inc. Common Stock,Basic Materials,Forest Products,113.3,20.81
EWTX,Edgewise Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,28.47,20.79
KWR,Quaker Houghton Common Stock,Industrials,Major Chemicals,170.5,20.66
ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.93,20.62
UHG,United Homes Group Inc Class A Common Stock,Consumer Discretionary,Homebuilding,1.99,20.61
ENTG,Entegris Inc. Common Stock,Industrials,Plastic Products,112.41,20.61
MAMA,Mama's Creations Inc. Common Stock,Consumer Staples,Specialty Foods,15.45,20.61
FMC,FMC Corporation Common Stock,Industrials,Major Chemicals,16.99,20.58
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,59.17,20.58
GME,GameStop Corporation Common Stock,Consumer Discretionary,Electronics Distribution,24.98,20.56
IAUX,i-80 Gold Corp. Common Shares,Basic Materials,Precious Metals,1.82,20.53
NOG,Northern Oil and Gas Inc. Common Stock,Energy,Oil & Gas Production,25.31,20.52
WFG,West Fraser Timber Co. Ltd Common stock,Basic Materials,Forest Products,76.69,20.49
IMKTA,Ingles Markets Incorporated Class A Common Stock,Consumer Staples,Food Chains,83.28,20.46
AMWD,American Woodmark Corporation Common Stock,Basic Materials,Forest Products,65.89,20.46
JLHL,Julong Holding Limited Class A Ordinary Shares,Consumer Discretionary,Military/Government/Technical,4.89,20.44
BELFB,Bel Fuse Inc. Class B Common Stock,,,211.58,20.42
SOGP,Sound Group Inc. American Depositary Shares,Technology,Computer Software: Programming Data Processing,13.81,20.4
WNC,Wabash National Corporation Common Stock,Industrials,Construction/Ag Equipment/Trucks,11.04,20.38
GOLF,Acushnet Holdings Corp. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,101.69,20.34
THR,Thermon Group Holdings Inc. Common Stock,Energy,Industrial Machinery/Components,46.19,20.29
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,Energy,Oil & Gas Production,56.84,20.25
NIC,Nicolet Bankshares Inc. Common Stock,Finance,Major Banks,149.17,20.25
AVIR,Atea Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.1,20.23
LE,Lands' End Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,17.66,20.22
BALL,Ball Corporation Common Stock,Industrials,Containers/Packaging,64.81,20.22
PR,Permian Resources Corporation Class A Common Stock,Energy,Oil & Gas Production,16.61,20.19
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,Industrial Machinery/Components,629.73,20.16
PCVX,Vaxcyte Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,55.28,20.1
MOV,Movado Group Inc. Common Stock,Consumer Discretionary,Consumer Specialties,25.05,20.09
CVGW,Calavo Growers Inc. Common Stock,Consumer Discretionary,Specialty Foods,25.46,20.05
DCOM,Dime Community Bancshares Inc. Common Stock,Finance,Major Banks,35.79,20.03
ATEX,Anterix Inc. Common Stock,Telecommunications,Telecommunications Equipment,27.16,20.02
IMMX,Immix Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.12,20.0
