티커,종목명,섹터,산업,현재가,수익률(%)
KRO,Kronos Worldwide Inc Common Stock,Basic Materials,Major Chemicals,6.08,25.88
OTH,Off The Hook YS Inc. Common Stock,Industrials,Marine Transportation,2.53,25.87
SD,SandRidge Energy Inc. Common Stock,Energy,Oil & Gas Production,16.81,25.82
OVV,Ovintiv Inc. (DE),Energy,Oil & Gas Production,46.53,25.82
BLBD,Blue Bird Corporation Common Stock,Consumer Discretionary,Construction/Ag Equipment/Trucks,59.21,25.82
XOM,Exxon Mobil Corporation Common Stock,Energy,Integrated oil Companies,149.05,25.79
NOG,Northern Oil and Gas Inc. Common Stock,Energy,Oil & Gas Production,25.64,25.75
PBF,PBF Energy Inc. Class A Common Stock,Energy,Integrated oil Companies,35.51,25.74
HLX,Helix Energy Solutions Group Inc. Common Stock,Energy,Oilfield Services/Equipment,8.56,25.7
TG,Tredegar Corporation Common Stock,Industrials,Metal Fabrications,9.26,25.64
SLNG,Stabilis Solutions Inc. Common Stock,Utilities,Oil/Gas Transmission,5.54,25.62
ARDX,Ardelyx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,7.32,25.56
BAK,Braskem SA ADR,Industrials,Major Chemicals,3.64,25.52
LMT,Lockheed Martin Corporation Common Stock,Industrials,Military/Government/Technical,623.58,25.5
FET,Forum Energy Technologies Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,47.98,25.44
LW,Lamb Weston Holdings Inc. Common Stock ,Consumer Staples,Packaged Foods,50.12,25.44
PR,Permian Resources Corporation Class A Common Stock,Energy,Oil & Gas Production,16.93,25.41
GHM,Graham Corporation Common Stock,Industrials,Industrial Machinery/Components,83.24,25.4
TDW,Tidewater Inc. Common Stock,Consumer Discretionary,Marine Transportation,66.35,25.38
MATX,Matson Inc. Common Stock,Consumer Discretionary,Marine Transportation,162.94,25.38
SCL,Stepan Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,62.73,25.38
OII,Oceaneering International Inc. Common Stock,Energy,Oilfield Services/Equipment,32.19,25.35
DLX,Deluxe Corporation Common Stock,Consumer Discretionary,Publishing,27.8,25.34
RILYZ,BRC Group Holdings Inc. 5.25% Senior Notes due 2028,Finance,Investment Managers,15.62,25.23
HUN,Huntsman Corporation Common Stock,Industrials,Major Chemicals,13.46,25.21
WSFS,WSFS Financial Corporation Common Stock,Finance,Major Banks,70.65,25.18
PRIM,Primoris Services Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,160.54,25.18
ENTG,Entegris Inc. Common Stock,Industrials,Plastic Products,122.37,25.16
BG,Bunge Limited Common Shares,Consumer Staples,Packaged Foods,115.86,25.13
FLX,BingEx Limited American Depositary Shares,Industrials,Trucking Freight/Courier Services,3.99,25.08
SKE,Skeena Resources Limited Common Shares,Basic Materials,Precious Metals,31.43,25.02
OEC,Orion S.A. Common Shares,Industrials,Major Chemicals,7.05,25.0
STEL,Stellar Bancorp Inc. Common Stock,Finance,Major Banks,39.17,24.98
PRLB,Proto Labs Inc. Common stock,Industrials,Metal Fabrications,67.17,24.97
DCH,Dauch Corporation Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,8.62,24.93
CNH,CNH Industrial N.V. Common Shares,Industrials,Construction/Ag Equipment/Trucks,12.36,24.85
PWP,Perella Weinberg Partners Class A Common Stock,Finance,Finance: Consumer Services,23.26,24.72
PGC,Peapack-Gladstone Financial Corporation Common Stock,Finance,Commercial Banks,35.23,24.71
AROC,Archrock Inc. Common Stock,Utilities,Natural Gas Distribution,32.05,24.71
AVNS,Avanos Medical Inc. Common Stock,Health Care,Industrial Specialties,14.59,24.7
PATK,Patrick Industries Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,140.85,24.65
SOLS,Solstice Advanced Materials Inc. Common Stock ,Industrials,Aerospace,64.79,24.64
BEEP,Mobile Infrastructure Corporation Common Stock,Finance,Blank Checks,3.24,24.62
KEP,Korea Electric Power Corporation Common Stock,Utilities,Electric Utilities: Central,21.56,24.62
VHI,Valhi Inc. Common Stock,Basic Materials,Major Chemicals,15.51,24.58
IMNM,Immunome Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,24.88,24.52
EDAP,EDAP TMS S.A. American Depositary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,4.73,24.47
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),170.49,24.44
GPGI,GPGI Inc. Class A Common Stock,Finance,Finance: Consumer Services,24.46,24.42
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production,5.3,24.41
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),21.08,24.37
LGO,Largo Inc. Common Shares,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),1.48,24.37
MTC,MMTec Inc. Common Shares,Technology,Computer Software: Prepackaged Software,3.63,24.32
NRT,North European Oil Royality Trust Common Stock,Energy,Oil & Gas Production,9.26,24.3
ASTE,Astec Industries Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,57.43,24.25
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,96.43,24.25
WASH,Washington Trust Bancorp Inc. Common Stock,Finance,Major Banks,36.75,24.24
BFC,Bank First Corporation Common Stock,Finance,Major Banks,151.51,24.19
BALL,Ball Corporation Common Stock,Industrials,Containers/Packaging,66.47,24.17
DCOM,Dime Community Bancshares Inc. Common Stock,Finance,Major Banks,36.23,24.14
VVV,Valvoline Inc. Common Stock,Industrials,Major Chemicals,37.53,24.11
PDYN,Palladyne AI Corp. Common Stock,Technology,Computer Software: Prepackaged Software,7.16,24.09
FRO,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,29.37,24.08
FUN,Six Flags Entertainment Corporation Common Stock New,Consumer Discretionary,Services-Misc. Amusement & Recreation,18.73,24.04
BCC,Boise Cascade L.L.C. Common Stock,Consumer Discretionary,RETAIL: Building Materials,91.03,23.9
AIR,AAR Corp. Common Stock,Industrials,Aerospace,113.09,23.81
CRC,California Resources Corporation Common Stock,Energy,Oil & Gas Production,55.42,23.76
PDS,Precision Drilling Corporation Common Stock,Energy,Oil & Gas Production,87.17,23.73
CWH,Camping World Holdings Inc. Class A Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,13.62,23.71
BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,Homebuilding,25.05,23.7
CSTM,Constellium SE Ordinary Shares (France),Industrials,Metal Fabrications,24.74,23.7
CTS,CTS Corporation Common Stock,Technology,Electrical Products,55.78,23.65
CSL,Carlisle Companies Incorporated Common Stock,Industrials,Specialty Chemicals,403.86,23.64
IMKTA,Ingles Markets Incorporated Class A Common Stock,Consumer Staples,Food Chains,84.9,23.61
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Major Banks,41.25,23.58
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,65.78,23.55
BDC,Belden Inc Common Stock,Industrials,Telecommunications Equipment,139.75,23.53
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,23.47,23.53
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks,9.61,23.52
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,114.79,23.5
RXO,RXO Inc. Common Stock,Consumer Discretionary,Transportation Services,16.9,23.45
GTES,Gates Industrial Corporation plc Ordinary Shares,Industrials,Industrial Machinery/Components,26.81,23.43
MHK,Mohawk Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings,131.89,23.41
CYD,China Yuchai International Limited Common Stock,Industrials,Industrial Machinery/Components,50.0,23.33
OFLX,Omega Flex Inc. Common Stock,Industrials,Industrial Specialties,37.32,23.33
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components,132.57,23.31
MOFG,MidWestOne Financial Gp Common Stock,Finance,Major Banks,48.18,23.27
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,94.41,23.22
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Finance,Major Banks,8.99,23.15
VSH,Vishay Intertechnology Inc. Common Stock,Technology,Electrical Products,19.95,23.15
SRL,Scully Royalty Ltd.,Finance,Commercial Banks,9.06,23.1
UFPI,UFP Industries Inc. Common Stock,Basic Materials,Forest Products,114.19,23.09
MAN,ManpowerGroup Common Stock,Consumer Discretionary,Professional Services,36.64,22.99
CECO,CECO Environmental Corp. Common Stock,Industrials,Pollution Control Equipment,72.37,22.93
DAKT,Daktronics Inc. Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,25.41,22.93
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),Telecommunications,Telecommunications Equipment,14.92,22.9
NOC,Northrop Grumman Corporation Common Stock,Industrials,Industrial Machinery/Components,709.11,22.89
PSMT,PriceSmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,156.83,22.89
IAUX,i-80 Gold Corp. Common Shares,Basic Materials,Precious Metals,1.88,22.88
GRVY,GRAVITY Co. Ltd. American Depository Shares,Real Estate,Real Estate,71.16,22.88
SHIM,Shimmick Corporation Common Stock,Industrials,Military/Government/Technical,4.19,22.87
GROW,U.S. Global Investors Inc. Class A Common Stock,Finance,Investment Managers,3.0,22.85
EPC,Edgewell Personal Care Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,20.75,22.85
DAN,Dana Incorporated Common Stock ,Consumer Discretionary,Auto Parts:O.E.M.,31.69,22.83
KB,KB Financial Group Inc,Finance,Commercial Banks,104.63,22.72
NIC,Nicolet Bankshares Inc. Common Stock,Finance,Major Banks,152.25,22.72
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,583.11,22.71
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods,19.35,22.71
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Industrials,Major Chemicals,55.1,22.69
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),152.5,22.64
BLD,TopBuild Corp. Common Stock,Consumer Discretionary,Engineering & Construction,517.5,22.61
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Materials,Precious Metals,21.99,22.58
MIRM,Mirum Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,100.47,22.55
WFRD,Weatherford International plc Ordinary Shares,Consumer Discretionary,Oil and Gas Field Machinery,105.51,22.51
LPX,Louisiana-Pacific Corporation Common Stock,Basic Materials,Forest Products,96.97,22.51
NHC,National HealthCare Corporation Common Stock,Health Care,Hospital/Nursing Management,161.57,22.47
OBT,Orange County Bancorp Inc. Common Stock,Finance,Major Banks,35.21,22.47
JCI,Johnson Controls International plc Ordinary Share,Industrials,Industrial Machinery/Components,137.65,22.45
AMWD,American Woodmark Corporation Common Stock,Basic Materials,Forest Products,67.54,22.44
MCB,Metropolitan Bank Holding Corp. Common Stock,Finance,Major Banks,96.39,22.43
NFBK,Northfield Bancorp Inc. Common Stock (Delaware),Finance,Savings Institutions,13.87,22.42
ASRV,AmeriServ Financial Inc. Common Stock,Finance,Major Banks,3.82,22.38
HNI,HNI Corporation Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services,52.55,22.35
CLF,Cleveland-Cliffs Inc. Common Stock,Basic Materials,Metal Mining,14.73,22.34
CENX,Century Aluminum Company Common Stock,Industrials,Aluminum,52.4,22.29
TTEK,Tetra Tech Inc. Common Stock,Consumer Discretionary,Military/Government/Technical,41.29,22.23
WBI,WaterBridge Infrastructure LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oilfield Services/Equipment,22.93,22.23
FLOC,Flowco Holdings Inc. Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,22.84,22.2
UNFI,United Natural Foods Inc. Common Stock,Consumer Discretionary,Food Distributors,40.69,22.19
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services,202.47,22.18
MCFT,MasterCraft Boat Holdings Inc. Common Stock,Industrials,Marine Transportation,25.17,22.18
MBIN,Merchants Bancorp Common Stock,Finance,Major Banks,42.48,22.16
SITM,SiTime Corporation Common Stock,Technology,Semiconductors,418.69,22.16
ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment,253.1,22.12
CARR,Carrier Global Corporation Common Stock ,Industrials,Industrial Machinery/Components,63.92,22.11
MEC,Mayville Engineering Company Inc. Common Stock,Industrials,Industrial Specialties,21.65,22.11
FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,Health Care,Biotechnology: Pharmaceutical Preparations,11.99,22.1
LE,Lands' End Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,17.99,22.05
AVNW,Aviat Networks Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,26.36,22.04
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,726.2,22.02
BELFB,Bel Fuse Inc. Class B Common Stock,,,220.78,22.0
STNG,Scorpio Tankers Inc. Common Shares,Consumer Discretionary,Marine Transportation,68.43,21.96
NATR,Nature's Sunshine Products Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,26.33,21.95
PCVX,Vaxcyte Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,56.15,21.91
YUMC,Yum China Holdings Inc. Common Stock,Consumer Discretionary,Restaurants,57.95,21.9
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,Industrial Machinery/Components,647.56,21.84
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,Telecommunications,Telecommunications Equipment,24.46,21.81
ATLO,Ames National Corporation Common Stock,Finance,Major Banks,27.95,21.79
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components,273.26,21.77
PPG,PPG Industries Inc. Common Stock,Consumer Discretionary,Paints/Coatings,126.51,21.76
TALO,Talos Energy Inc. Common Stock,Energy,Oil & Gas Production,12.71,21.74
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution,211.44,21.74
LECO,Lincoln Electric Holdings Inc. Common Shares,Industrials,Industrial Machinery/Components,298.88,21.72
SLSR,Solaris Resources Inc. Common Shares,,,10.04,21.7
CLBK,Columbia Financial Inc. Common Stock,Finance,Savings Institutions,18.52,21.68
ESP,Espey Mfg. & Electronics Corp. Common Stock,Technology,Industrial Machinery/Components,56.87,21.65
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,Technology,Computer Software: Prepackaged Software,12.93,21.64
INR,Infinity Natural Resources Inc. Class A Common Stock,Energy,Oil & Gas Production,17.27,21.62
FFBC,First Financial Bancorp. Common Stock,Finance,Major Banks,30.9,21.61
DINO,HF Sinclair Corporation Common Stock,Energy,Natural Gas Distribution,58.59,21.61
KNDI,Kandi Technologies Group Inc. Ordinary Shares,Industrials,Auto Manufacturing,1.07,21.59
DK,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,35.53,21.51
LCII,LCI Industries,Consumer Discretionary,Auto Parts:O.E.M.,154.65,21.51
VAL,Valaris Limited Common Shares,Energy,Oil & Gas Production,62.41,21.49
PARK,Park Dental Partners Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,17.2,21.47
PLBC,Plumas Bancorp,Finance,Finance Companies,53.41,21.47
OC,Owens Corning Inc Common Stock New,Industrials,Industrial Machinery/Components,135.74,21.47
CMCO,Columbus McKinnon Corporation Common Stock,Industrials,Construction/Ag Equipment/Trucks,22.76,21.45
LYTS,LSI Industries Inc. Common Stock,Consumer Discretionary,Building Products,22.89,21.45
TTI,Tetra Technologies Inc. Common Stock,Energy,Oil & Gas Production,11.67,21.44
CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),Consumer Discretionary,Marine Transportation,24.43,21.42
STNE,StoneCo Ltd. Class A Common Shares,Technology,EDP Services,17.08,21.39
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,4.88,21.39
SPB,Spectrum Brands Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,75.72,21.37
NVMI,Nova Ltd. Ordinary Shares,Technology,Electronic Components,459.95,21.36
TUSK,Mammoth Energy Services Inc. Common Stock,Energy,Oilfield Services/Equipment,2.33,21.35
SVV,Savers Value Village Inc. Common Stock,Consumer Discretionary,Other Specialty Stores,11.53,21.24
CTRA,Coterra Energy Inc. Common Stock,Energy,Oil & Gas Production,30.66,21.23
NTLA,Intellia Therapeutics Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,12.28,21.22
WSO,Watsco Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components,419.92,21.17
GPC,Genuine Parts Company Common Stock,Consumer Discretionary,Automotive Aftermarket,148.51,21.17
GRNT,Granite Ridge Resources Inc. Common Stock,Energy,Oil & Gas Production,5.1,21.14
INTT,inTest Corporation Common Stock,Industrials,Electrical Products,9.97,21.14
OSK,Oshkosh Corporation (Holding Company)Common Stock,Industrials,Auto Manufacturing,171.71,21.14
IR,Ingersoll Rand Inc. Common Stock,Industrials,Industrial Machinery/Components,98.5,21.11
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,Utilities,Electric Utilities: Central,60.01,21.06
DCO,Ducommun Incorporated Common Stock,Industrials,Military/Government/Technical,121.08,21.03
CCS,Century Communities Inc. Common Stock,Consumer Discretionary,Homebuilding,69.79,21.02
CPA,Copa Holdings S.A. Class A Common Stock,Consumer Discretionary,Air Freight/Delivery Services,154.09,20.93
GDS,GDS Holdings Limited ADS,Technology,Computer Software: Programming Data Processing,46.48,20.92
CWEN,Clearway Energy Inc. Class C Common Stock,Utilities,Electric Utilities: Central,38.64,20.9
EFXT,Enerflex Ltd Common Shares,Industrials,Industrial Machinery/Components,17.83,20.88
RCAT,Red Cat Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,12.63,20.86
MAIA,MAIA Biotechnology Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.97,20.86
PLPC,Preformed Line Products Company Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,280.41,20.84
TT,Trane Technologies plc,Industrials,Auto Parts:O.E.M.,454.76,20.81
EZPW,EZCORP Inc. Class A Non Voting Common Stock,Consumer Discretionary,Other Specialty Stores,25.63,20.78
PUMP,ProPetro Holding Corp. Common Stock,Energy,Oilfield Services/Equipment,11.24,20.73
NPO,Enpro Inc. Common Stock,Industrials,Metal Fabrications,267.57,20.71
OIS,Oil States International Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,9.1,20.69
LVO,LiveOne Inc. Common Stock,Consumer Discretionary,Restaurants,5.08,20.67
SAM,Boston Beer Company Inc. (The) Common Stock,Consumer Staples,Beverages (Production/Distribution),246.76,20.67
MLKN,MillerKnoll Inc. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services,22.54,20.66
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,58.92,20.64
TILE,Interface Inc. Common Stock,Consumer Discretionary,Home Furnishings,34.63,20.62
TITN,Titan Machinery Inc. Common Stock,Consumer Discretionary,Other Specialty Stores,18.6,20.62
DHX,DHI Group Inc. Common Stock,Real Estate,Real Estate,1.99,20.61
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.4,20.6
STLD,Steel Dynamics Inc.,Industrials,Steel/Iron Ore,202.39,20.59
CON,Concentra Group Holdings Parent Inc. Common Stock,Health Care,Medical Specialities,23.5,20.51
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Health Care,Medical/Dental Instruments,7.11,20.51
MRBK,Meridian Corporation Common Stock,Finance,Major Banks,20.71,20.48
TREX,Trex Company Inc. Common Stock,Basic Materials,Forest Products,44.0,20.48
WDFC,WD-40 Company Common Stock,Industrials,Major Chemicals,238.53,20.47
DFTX,Definium Therapeutics Inc. Common Shares,Health Care, Medicinal Chemicals and Botanical Products ,16.9,20.46
TKR,Timken Company (The) Common Stock,Industrials,Metal Fabrications,106.04,20.43
WWD,Woodward Inc. Common Stock,Energy,Industrial Machinery/Components,388.5,20.43
PARR,Par Pacific Holdings Inc.  Common Stock,Energy,Oil & Gas Production,43.3,20.41
SOGP,Sound Group Inc. American Depositary Shares,Technology,Computer Software: Programming Data Processing,13.87,20.4
WTTR,Select Water Solutions Inc. Class A common stock,Energy,Oilfield Services/Equipment,12.89,20.38
FGBI,First Guaranty Bancshares Inc. Common Stock,Finance,Savings Institutions,8.93,20.35
AMTM,Amentum Holdings Inc. Common Stock,Real Estate,Real Estate,37.53,20.33
MWA,MUELLER WATER PRODUCTS Common Stock,Industrials,Metal Fabrications,29.18,20.33
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Industrials,Integrated Freight & Logistics,200.59,20.31
VNET,VNET Group Inc. American Depositary Shares,Technology,Computer Software: Programming Data Processing,11.2,20.3
GLTO,Galecto Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,25.26,20.29
BAP,Credicorp Ltd. Common Stock,Finance,Commercial Banks,353.3,20.29
IDCC,InterDigital Inc. Common Stock,Miscellaneous,Multi-Sector Companies,371.08,20.27
WTBA,West Bancorporation Common Stock,Finance,Major Banks,26.31,20.25
BVN,Buenaventura Mining Company Inc.,Basic Materials,Metal Mining,36.95,20.2
AVNT,Avient Corporation Common Stock,Industrials,Major Chemicals,38.76,20.19
MASS,908 Devices Inc. Common Stock,Industrials,Industrial Machinery/Components,6.55,20.18
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,Finance,Major Banks,65.16,20.18
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,Restaurants,33.81,20.16
MBC,MasterBrand Inc. Common Stock,Consumer Discretionary,Home Furnishings,13.59,20.16
STRT,STRATTEC SECURITY CORPORATION Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,90.47,20.16
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,369.23,20.14
EBMT,Eagle Bancorp Montana Inc. Common Stock,Finance,Major Banks,23.45,20.13
FTI,TechnipFMC plc Ordinary Share,Consumer Discretionary,Oil and Gas Field Machinery,59.06,20.09
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution),75.81,20.07
ORIC,Oric Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,10.42,20.05
CHMG,Chemung Financial Corp Common Stock,Finance,Major Banks,64.4,20.04
CMDB,Costamare Bulkers Holdings Limited Common Stock,Consumer Discretionary,Marine Transportation,18.57,20.04
SLGN,Silgan Holdings Inc. Common Stock,Industrials,Containers/Packaging,48.89,20.03
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,221.44,20.02
KDKRW,Kodiak AI Inc. Warrants,Technology,EDP Services,1.44,20.0
